ID,英単語,品詞,日本語訳,フレーズ(英語),フレーズ(日本語),文中の英単語,文中の日本語
1,anyway,副,とにかく,Let's try anyway.,とにかくやってみよう。,anyway,とにかく
2,ship,動,出荷する,We are ready to ship your order.,注文を出荷する準備ができました。,ship,出荷する
3,attend,動,参加する、出席する,attend a workshop,研修会に参加する,attend,参加する
4,successful,形,成功した、うまくいく,The event was successful.,そのイベントは成功だった。,successful,成功だった
5,employee,名,社員、従業員,a new employee at Tex Corporation,テックス社の新入社員,employee,社員
6,expand,動,拡大する,Our business is expanding.,当社の事業は拡大しています。,expanding,拡大しています
7,copy,名,(本、雑誌等の)冊・部、(CD等の)枚、コピー,one free copy of the book,無料の本一冊,copy,冊
8,close,形,近い,The hotel is close to the airport.,そのホテルは空港に近い。,close,近い
9,weekly,形,週に一度の,a weekly magazine,週刊誌,weekly,週
10,prefer,動,～を（…よりも）好む,I prefer to work part-time.,私はパートタイムで働く方が好きです。,prefer,好きです
11,sign,動,署名する,Please sign in at the front desk.,受付で署名してください。,sign,署名してください
12,break,名,休憩,Let's take a break.,休憩しましょう。,break,休憩
13,document,名,書類,an important document,重要な書類,document,書類
14,quarter,名,四半期,the third quarter,第3四半期,quarter,四半期
15,department,名,部門、売り場,a department head,部門長,department,部門
16,accept,動,受け入れる,accept an offer,オファーを受け入れる,accept,受け入れる
17,allow,動,許す,allow employees to use company vehicles,従業員に社用車の使用を許す,allow,許す
18,connect,動,接続する、つなぐ,a connecting flight,乗り継ぎ便,connecting,乗り継ぎ
19,recently,副,最近,Tex recently bought a printer.,テックスは最近プリンターを買った。,recently,最近
20,another,形,もう一つの,I'll be here for another two hours.,もうあと2時間ここにいます。,another,もう一つの
21,likely,形,～しそうだ,It is likely that Tex will succeed.,テックスは成功しそうだ。,likely,しそうだ
22,rate,名,割合、料金,at a rate of 20% a year,年20%の割合で,rate,割合
23,local,形,地元の,local businesses,地元の会社,local,地元の
24,retire,動,退職する,Tex retired after 20 years of service.,20年の勤務の後、テックスは退職した。,retired,退職した
25,workplace,名,職場,relationships in the workplace,職場での人間関係,workplace,職場
26,performance,名,業績、仕事ぶり、性能、公演,an employee's performance,従業員の成績,performance,業績
27,native,形,出身の、その地で生まれた,a singer native to the town,その町出身の歌手,native,出身の
28,modern,形,現代的な、近代的な,design a modern building,近代的な建物を設計する,modern,近代的な
29,satisfied,形,満足した,Tex is fully satisfied with the result.,テックスは結果に十分満足している。,satisfied,満足している
30,author,名,著者、作者,the author of a popular book,人気本の著者,author,著者
31,experienced,形,経験豊富な,an experienced engineer,経験豊かなエンジニア,experienced,経験豊富な
32,branch,名,支店,open a new branch,新しい支店をオープンする,branch,支店
